round,accuracy,macro_f1,weighted_f1,fpr
1,0.847267,0.161924,0.781158,0.057755
2,0.975089,0.508325,0.968991,0.006163
3,0.976425,0.495586,0.969636,0.006167
4,0.978403,0.568869,0.972605,0.005184
5,0.977268,0.504417,0.970711,0.005722
6,0.979616,0.580831,0.973755,0.00505
7,0.980035,0.584345,0.974182,0.004861
8,0.979183,0.53498,0.97303,0.0052
9,0.979833,0.58713,0.973999,0.005019
10,0.980136,0.589539,0.974317,0.004932
11,0.980326,0.589901,0.974509,0.004842
12,0.97977,0.552655,0.973806,0.004947
13,0.979239,0.554815,0.970733,0.004969
14,0.978678,0.580109,0.972566,0.005396
15,0.980179,0.587618,0.974576,0.004957
16,0.959224,0.491813,0.950575,0.013032
17,0.979546,0.526888,0.973384,0.004915
18,0.980353,0.589452,0.974532,0.004838
19,0.980024,0.638089,0.974229,0.004974
20,0.980363,0.644807,0.974599,0.004841
21,0.982348,0.655849,0.976934,0.004698
22,0.980256,0.607979,0.974484,0.00484
23,0.980537,0.64431,0.974792,0.004802
24,0.980365,0.647,0.974608,0.004866
25,0.980476,0.593554,0.974675,0.004799
26,0.980391,0.631042,0.974629,0.004834
27,0.980536,0.643037,0.974789,0.004828
28,0.980537,0.64719,0.974792,0.004813
29,0.98054,0.647209,0.974793,0.004828
30,0.980297,0.649751,0.974999,0.004668
