round,accuracy,macro_f1,weighted_f1,fpr
1,0.845769,0.155119,0.778407,0.059419
2,0.975633,0.506319,0.969589,0.005872
3,0.976423,0.473957,0.969092,0.005866
4,0.978661,0.570858,0.972888,0.00504
5,0.979385,0.505986,0.972963,0.005414
6,0.979795,0.582648,0.973947,0.004976
7,0.979889,0.582593,0.974031,0.00493
8,0.979669,0.568008,0.973742,0.005065
9,0.98015,0.587911,0.974322,0.004901
10,0.980181,0.589484,0.974362,0.004911
11,0.980343,0.589839,0.974526,0.004836
12,0.9817,0.547674,0.97596,0.004799
13,0.979213,0.555384,0.970711,0.004974
14,0.978854,0.581561,0.972752,0.005316
15,0.979726,0.52879,0.97358,0.004981
16,0.979562,0.525078,0.973382,0.005002
17,0.979502,0.524084,0.973317,0.00495
18,0.980321,0.588242,0.974491,0.004852
19,0.980063,0.614062,0.974215,0.004963
20,0.980423,0.644878,0.97466,0.004827
21,0.982156,0.656514,0.97685,0.004686
22,0.980326,0.643099,0.974579,0.004811
23,0.980549,0.648692,0.974805,0.004807
24,0.980492,0.646722,0.974732,0.004798
25,0.980293,0.590468,0.974477,0.004809
26,0.962409,0.567288,0.953885,0.011967
27,0.98051,0.648484,0.974764,0.004831
28,0.980496,0.647707,0.974749,0.004822
29,0.980569,0.648566,0.974823,0.004802
30,0.980316,0.647798,0.974653,0.00471
