round,accuracy,macro_f1,weighted_f1,fpr
1,0.880476,0.266438,0.835535,0.04392
2,0.942641,0.40687,0.926387,0.018767
3,0.969421,0.608322,0.962593,0.009263
4,0.976046,0.619892,0.970304,0.005855
5,0.978813,0.631241,0.973729,0.005038
6,0.980402,0.648735,0.975279,0.004874
7,0.978506,0.608757,0.970299,0.004999
8,0.97818,0.610608,0.969963,0.005151
9,0.942235,0.558419,0.924626,0.019211
10,0.976546,0.615689,0.96924,0.005687
11,0.980829,0.654344,0.975712,0.004791
12,0.978244,0.614755,0.970231,0.005106
13,0.981023,0.646947,0.975599,0.004894
14,0.979209,0.654907,0.973852,0.005119
15,0.979023,0.614697,0.970825,0.004984
16,0.979333,0.597972,0.973839,0.005493
17,0.981068,0.661027,0.975792,0.00491
18,0.979211,0.562724,0.970978,0.004839
19,0.981936,0.65834,0.976509,0.00469
20,0.981863,0.601788,0.97637,0.0046
21,0.982024,0.657484,0.976566,0.004654
22,0.979053,0.644181,0.973448,0.004927
23,0.98038,0.657498,0.974651,0.004734
24,0.97819,0.616051,0.97008,0.005376
25,0.978343,0.561498,0.970355,0.005244
26,0.981879,0.604904,0.976635,0.004701
27,0.979595,0.65145,0.974579,0.004765
28,0.981164,0.66434,0.976069,0.004755
29,0.979942,0.657076,0.975517,0.004547
30,0.979411,0.645901,0.973826,0.004833
