round,accuracy,macro_f1,weighted_f1,fpr
1,0.835141,0.096597,0.765251,0.062879
2,0.837951,0.107422,0.768888,0.063783
3,0.848475,0.165768,0.788515,0.059575
4,0.892285,0.35019,0.861014,0.039661
5,0.878921,0.285443,0.838883,0.045115
6,0.897674,0.434366,0.868868,0.037615
7,0.872599,0.255581,0.831206,0.047565
8,0.85403,0.148293,0.80067,0.057419
9,0.884557,0.386629,0.85182,0.042792
10,0.936888,0.497983,0.917896,0.022797
11,0.979266,0.589529,0.973896,0.005395
12,0.936056,0.483893,0.916907,0.022502
13,0.968512,0.62432,0.961624,0.010185
14,0.929702,0.384981,0.908085,0.02508
15,0.87713,0.287459,0.848352,0.036997
16,0.944522,0.503447,0.926011,0.019777
17,0.938499,0.475936,0.919657,0.021543
18,0.981284,0.598626,0.975747,0.005102
19,0.978638,0.583412,0.972798,0.00558
20,0.980447,0.591333,0.975095,0.005214
21,0.979005,0.6116,0.970808,0.005248
22,0.980445,0.592724,0.97466,0.004813
23,0.980211,0.641052,0.97445,0.004906
24,0.981279,0.654426,0.9758,0.005126
25,0.981344,0.599659,0.975877,0.005087
26,0.980302,0.591423,0.974496,0.004865
27,0.979495,0.644483,0.973736,0.005249
28,0.981578,0.655871,0.976169,0.005063
29,0.980259,0.645517,0.974507,0.004903
30,0.979657,0.647332,0.973905,0.005165
