round,accuracy,macro_f1,weighted_f1,fpr
1,0.833364,0.09493,0.775031,0.054192
2,0.876339,0.276855,0.826326,0.046152
3,0.89894,0.339565,0.863522,0.037207
4,0.895966,0.360368,0.859886,0.038425
5,0.977241,0.574588,0.97131,0.005739
6,0.978296,0.584952,0.972456,0.005215
7,0.97825,0.58358,0.972407,0.005416
8,0.933266,0.568758,0.916753,0.023313
9,0.940394,0.587801,0.924954,0.020463
10,0.935976,0.530451,0.91992,0.022857
11,0.980988,0.599608,0.975549,0.005054
12,0.977245,0.646979,0.972043,0.006492
13,0.978056,0.65299,0.972701,0.006069
14,0.981285,0.650683,0.975953,0.004965
15,0.981438,0.602681,0.975985,0.005035
16,0.978374,0.601411,0.972928,0.006196
17,0.979682,0.595383,0.973987,0.004993
18,0.981806,0.605486,0.976355,0.004833
19,0.980201,0.638403,0.974452,0.00493
20,0.980203,0.653972,0.975071,0.005457
21,0.975395,0.613594,0.967126,0.006664
22,0.981416,0.660095,0.976524,0.004915
23,0.981728,0.660625,0.976637,0.004702
24,0.981544,0.603974,0.976329,0.004717
25,0.981945,0.627902,0.978454,0.004313
26,0.980333,0.65198,0.974695,0.004811
27,0.980598,0.651926,0.97487,0.004685
28,0.982042,0.670581,0.978246,0.004329
29,0.980464,0.651379,0.974831,0.004645
30,0.965512,0.627123,0.957908,0.010672
