round,accuracy,macro_f1,weighted_f1,fpr
1,0.917724,0.321053,0.895114,0.028746
2,0.929306,0.415626,0.911313,0.02416
3,0.974939,0.593467,0.968989,0.006173
4,0.977802,0.628326,0.972409,0.00562
5,0.978424,0.630259,0.9726,0.005015
6,0.981003,0.654171,0.97561,0.004791
7,0.980994,0.650348,0.975538,0.004834
8,0.981169,0.653277,0.97575,0.004794
9,0.980991,0.656834,0.975859,0.004699
10,0.980944,0.595782,0.975434,0.004912
11,0.980936,0.597305,0.97575,0.004813
12,0.981424,0.657038,0.976094,0.004761
13,0.981633,0.662581,0.976196,0.004655
14,0.981436,0.614452,0.975963,0.004675
15,0.981911,0.64482,0.976549,0.004712
16,0.980869,0.5999,0.975491,0.004946
17,0.979585,0.59077,0.973854,0.004829
18,0.981857,0.665661,0.97643,0.004586
19,0.980042,0.646369,0.974279,0.004749
20,0.982028,0.658837,0.976631,0.004592
21,0.979422,0.619592,0.971366,0.004782
22,0.979835,0.648684,0.974229,0.004759
23,0.982034,0.659576,0.976665,0.004601
24,0.981891,0.667988,0.976501,0.004684
25,0.98144,0.613588,0.977894,0.004333
26,0.980197,0.648635,0.974461,0.004737
27,0.980184,0.650732,0.974446,0.004767
28,0.981977,0.658741,0.976646,0.004597
29,0.980106,0.648696,0.974371,0.004674
30,0.979453,0.658205,0.975647,0.004468
