round,client_id,trust_score
1,40,0.022515
1,7,0.079938
1,1,0.0
1,17,0.1
1,15,0.0
1,14,0.066559
1,8,0.008614
1,6,0.0
1,34,0.062785
1,5,0.097172
1,37,0.1
1,27,0.023939
1,2,0.1
1,47,0.0
1,49,0.034934
1,13,0.0
1,44,0.091306
1,32,0.074326
1,36,0.0
1,46,0.084519
2,40,0.120264
2,7,0.079938
2,1,0.0
2,17,0.19
2,15,0.0
2,14,0.143029
2,8,0.008614
2,6,0.001845
2,34,0.156506
2,5,0.097172
2,37,0.19
2,27,0.121545
2,2,0.19
2,47,0.0
2,49,0.034934
2,13,0.019865
2,44,0.182175
2,32,0.074326
2,36,0.0
2,46,0.084519
2,12,0.0
2,45,0.0
2,41,0.1
2,26,0.045597
2,28,0.041975
2,0,0.1
2,10,0.1
2,21,0.0
2,9,0.1
3,40,0.120264
3,7,0.171944
3,1,0.0
3,17,0.19
3,15,0.0
3,14,0.228726
3,8,0.008614
3,6,0.031437
3,34,0.240856
3,5,0.187455
3,37,0.19
3,27,0.121545
3,2,0.271
3,47,0.1
3,49,0.131441
3,13,0.019865
3,44,0.182175
3,32,0.074326
3,36,0.0
3,46,0.084519
3,12,0.0
3,45,0.0
3,41,0.1
3,26,0.045597
3,28,0.041975
3,0,0.1
3,10,0.1
3,21,0.0
3,9,0.1
3,24,0.022597
3,22,0.1
3,38,0.032853
3,16,0.1
3,29,0.1
3,35,0.1
3,18,0.1
3,23,0.1
3,4,0.0
3,43,0.1
3,39,0.0
4,40,0.208237
4,7,0.171944
4,1,0.0
4,17,0.271
4,15,0.0
4,14,0.294681
4,8,0.008614
4,6,0.043937
4,34,0.31677
4,5,0.268709
4,37,0.19
4,27,0.121545
4,2,0.271
4,47,0.1
4,49,0.131441
4,13,0.040312
4,44,0.263958
4,32,0.074326
4,36,0.0
4,46,0.084519
4,12,0.0
4,45,0.0
4,41,0.19
4,26,0.045597
4,28,0.041975
4,0,0.1
4,10,0.19
4,21,0.0
4,9,0.1
4,24,0.031435
4,22,0.19
4,38,0.032853
4,16,0.1
4,29,0.176648
4,35,0.1
4,18,0.19
4,23,0.19
4,4,0.0
4,43,0.19
4,39,0.0
4,42,0.1
5,40,0.287414
5,7,0.171944
5,1,0.0
5,17,0.3439
5,15,0.0
5,14,0.36003
5,8,0.008614
5,6,0.043937
5,34,0.31677
5,5,0.268709
5,37,0.19
5,27,0.121545
5,2,0.3439
5,47,0.19
5,49,0.218297
5,13,0.03628
5,44,0.337562
5,32,0.074326
5,36,0.0
5,46,0.176067
5,12,0.0
5,45,0.0
5,41,0.19
5,26,0.045597
5,28,0.068256
5,0,0.1
5,10,0.19
5,21,0.0
5,9,0.1
5,24,0.031435
5,22,0.19
5,38,0.029568
5,16,0.1
5,29,0.176648
5,35,0.19
5,18,0.19
5,23,0.19
5,4,0.0
5,43,0.271
5,39,0.0
5,42,0.1
5,20,0.1
5,3,0.1
5,25,0.027219
5,31,0.013903
6,40,0.358672
6,7,0.171944
6,1,0.0
6,17,0.3439
6,15,0.0
6,14,0.422369
6,8,0.065216
6,6,0.043937
6,34,0.385093
6,5,0.341838
6,37,0.271
6,27,0.209391
6,2,0.3439
6,47,0.19
6,49,0.218297
6,13,0.03628
6,44,0.337562
6,32,0.166893
6,36,0.0
6,46,0.258461
6,12,0.0
6,45,0.0
6,41,0.271
6,26,0.045597
6,28,0.068256
6,0,0.1
6,10,0.19
6,21,0.0
6,9,0.19
6,24,0.028292
6,22,0.19
6,38,0.029568
6,16,0.19
6,29,0.254191
6,35,0.271
6,18,0.19
6,23,0.271
6,4,0.0
6,43,0.271
6,39,0.0
6,42,0.1
6,20,0.1
6,3,0.1
6,25,0.058368
6,31,0.033746
7,40,0.422805
7,7,0.217595
7,1,0.0
7,17,0.40951
7,15,0.0
7,14,0.422369
7,8,0.065216
7,6,0.043937
7,34,0.385093
7,5,0.341838
7,37,0.271
7,27,0.288451
7,2,0.3439
7,47,0.19
7,49,0.296467
7,13,0.03628
7,44,0.337562
7,32,0.166893
7,36,0.0
7,46,0.332614
7,12,0.0
7,45,0.0
7,41,0.271
7,26,0.045597
7,28,0.068256
7,0,0.19
7,10,0.271
7,21,0.0
7,9,0.271
7,24,0.025463
7,22,0.19
7,38,0.026611
7,16,0.271
7,29,0.261866
7,35,0.271
7,18,0.19
7,23,0.271
7,4,0.0
7,43,0.3439
7,39,0.0
7,42,0.143996
7,20,0.1
7,3,0.19
7,25,0.058368
7,31,0.033746
7,33,0.1
7,48,0.0
8,40,0.422805
8,7,0.217595
8,1,0.0
8,17,0.40951
8,15,0.0
8,14,0.422369
8,8,0.065216
8,6,0.039543
8,34,0.385093
8,5,0.341838
8,37,0.271
8,27,0.359606
8,2,0.3439
8,47,0.271
8,49,0.296467
8,13,0.03628
8,44,0.337562
8,32,0.238956
8,36,0.0
8,46,0.332614
8,12,0.0
8,45,0.0
8,41,0.3439
8,26,0.045597
8,28,0.068256
8,0,0.271
8,10,0.3439
8,21,0.0
8,9,0.3439
8,24,0.025463
8,22,0.19
8,38,0.026611
8,16,0.3439
8,29,0.28611
8,35,0.271
8,18,0.271
8,23,0.3439
8,4,0.0
8,43,0.40951
8,39,0.0
8,42,0.143996
8,20,0.19
8,3,0.19
8,25,0.058368
8,31,0.033746
8,33,0.19
8,48,0.0
8,11,0.1
8,19,0.0
9,40,0.422805
9,7,0.295836
9,1,0.076695
9,17,0.40951
9,15,0.0
9,14,0.422369
9,8,0.158052
9,6,0.039543
9,34,0.446584
9,5,0.407655
9,37,0.3439
9,27,0.423646
9,2,0.3439
9,47,0.271
9,49,0.296467
9,13,0.03628
9,44,0.337562
9,32,0.238956
9,36,0.0
9,46,0.332614
9,12,0.0
9,45,0.0
9,41,0.40951
9,26,0.045597
9,28,0.068256
9,0,0.271
9,10,0.40951
9,21,0.0
9,9,0.3439
9,24,0.025463
9,22,0.19
9,38,0.026611
