round,client_id,trust_score
1,40,-0.148178
1,7,-0.028465
1,1,0.153451
1,17,0.034175
1,15,0.04158
1,14,-0.000643
1,8,0.096534
1,6,0.000643
1,34,-0.026781
1,5,-0.002801
1,37,-0.002273
1,27,-0.128744
1,2,0.099815
1,47,-1.520793
1,49,-0.125798
1,13,0.010506
1,44,0.071932
1,32,0.104549
1,36,0.062968
1,46,-0.113412
2,40,-0.271567
2,7,-0.028465
2,1,0.153451
2,17,0.106462
2,15,0.04158
2,14,0.071385
2,8,0.096534
2,6,-0.020418
2,34,0.045288
2,5,-0.002801
2,37,-0.03962
2,27,-0.255098
2,2,0.140489
2,47,-1.520793
2,49,-0.125798
2,13,-0.115938
2,44,0.117496
2,32,0.104549
2,36,0.073037
2,46,-0.113412
2,12,0.044753
2,45,0.038481
2,41,-0.130974
2,26,-0.111326
2,28,-0.06551
2,0,-0.005815
2,10,0.116631
2,21,0.005815
2,9,-0.076165
