round,client_id,trust_score
1,40,-0.174875
1,7,-0.064129
1,1,0.176148
1,17,-0.010661
1,15,0.014415
1,14,-0.018749
1,8,0.059019
1,6,-0.028033
1,34,0.010661
1,5,0.014596
1,37,0.037181
1,27,-0.161291
1,2,0.09982
1,47,-1.786926
1,49,-0.095229
1,13,-0.025068
1,44,0.07112
1,32,0.130539
1,36,0.070771
1,46,-0.083195
2,40,-0.157388
2,7,-0.064129
2,1,0.176148
2,17,0.052446
2,15,0.014415
2,14,0.070974
2,8,0.059019
2,6,-0.059194
2,34,0.044831
2,5,0.014596
2,37,-0.039396
2,27,-0.145162
2,2,0.115795
2,47,-1.786926
2,49,-0.095229
2,13,-0.196795
2,44,0.065922
2,32,0.130539
2,36,0.066737
2,46,-0.083195
2,12,0.051076
2,45,0.059475
2,41,-0.197601
2,26,-0.179191
2,28,-0.117225
2,0,-0.001913
2,10,0.142824
2,21,0.002895
2,9,-0.097734
3,40,-0.157388
3,7,-0.258875
3,1,0.176148
3,17,0.052446
3,15,0.014415
3,14,0.106172
3,8,0.059019
3,6,-0.066696
3,34,-0.019752
3,5,0.007332
3,37,-0.039396
3,27,-0.145162
3,2,0.164855
3,47,-1.609008
3,49,-0.250155
3,13,-0.196795
3,44,0.065922
3,32,0.130539
3,36,0.066737
3,46,-0.083195
3,12,0.051773
3,45,0.059475
3,41,-0.197601
3,26,-0.179191
3,28,-0.117225
3,0,-0.001913
3,10,0.142824
3,21,0.002895
3,9,-0.097734
3,24,0.039043
3,22,0.053258
3,38,-0.090843
3,16,-0.013931
3,29,0.093993
3,35,0.054348
3,18,-0.062207
3,23,0.048535
3,4,0.07426
3,43,0.014175
3,39,0.140566
